Order;University;City;Tuition_fee;Department;Website;Ranking
21;FIRAT UNIVERSITY;ELAZIG;34029;Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychological, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art, Social Sciences, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Fundamental Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical-Electronics Engineering, Industrial Engineering, Food Engineering, Surveying Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and logistics, Gastronomy, Culinary, Arts, Recreation Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Interior Design, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics;https://www.cu.edu.tr;21
22;BURSA ULUDAG UNIVERSITY;BURSA;2183;Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychological, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art, Social Sciences, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Fundamental Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical-Electronics Engineering, Industrial Engineering, Food Engineering, Surveying Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and logistics, Gastronomy, Culinary, Arts, Recreation Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Interior Design, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics;https://uludag.edu.tr/;22
23;ONDOKUZ MAYIS UNIVERSITY;SAMSUN;8246;Computer Engineering, Computer Programming, Informatics, Multimedia, Programming, CPD, Educational Research, Educational Administration, Educational Learning, Educational Psychology, Career Counselling, Coaching, Pedagogy, Adult Education, Childhood Education, Special Education, Teacher Training, Teaching, Criminal Law, Legal Research, Public Law, Legal Advice, Civil Law, International Law, Beauty Treatment, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil&Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consultancy, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;http://www.omu.edu.tr/;23
24;SULEYMAN DEMIREL UNIVERSITY;ISPARTA;22148;Civil Law, International Law, Beauty Therapy, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science, Agriculture, Veterinary Medicine, Farm Management, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences;http://w3.sdu.edu.tr/;24
25;SAKARYA UNIVERSITY;SAKARYA;44527;Civil Law, International Law, Beauty Therapy, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science, Agriculture, Veterinary Medicine, Farm Management, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences;http://www.sakarya.edu.tr;25
26;GAZIANTEP UNIVERSITY;GAZIANTEP;34791;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Psychology, Coaching, Pedagogy, Adult Education, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Electrical and Electronics Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Medicine, Aviation, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences;https://www.gantep.edu.tr;26
27;INONU UNIVERSITY;INONU;36513;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Programming, Psychology, Career Counseling, Coaching, Pedagogy, Adult Education, Public Law, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, Dance, Handicrafts, Music, Art, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;https://www.inonu.edu.tr/;27
28;ANATOLIAN UNIVERSITY;ESKISEHIR;189923;FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art, Social Sciences, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Fundamental Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical and Electronics Engineering, Industrial Engineering, Food Engineering, Surveying Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy, Culinary Arts, Recreation Management, Tourism Guidance, Tourism Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine;https://www.anadolu.edu.tr/;28
29;ABDULLAH GUL UNIVERSITY;KAYSERI;16532;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Psychology, Coaching, Pedagogy, Adult Education, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Electrical and Electronics Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Medicine, Aviation, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences;http://www.agu.edu.tr/;29
30;DICLE UNIVERSITY;DIYARBAKIR;30260;Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Processes, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Gardening, Plant and Crop science, Agriculture, Veterinary medicine, Farm management, Astronomy, Biology, Biomedical science, Natural geography, Physics, Forensic science, General science, Food engineering and technology, Chemistry, Materials science, Mathematics, Sports science, Life sciences, Earth sciences, Environmental sciences, Dance, Handicrafts, Non-industrial design, Industrial design, Graphic design, Fashion and textile design, Music, Art, Art administration, Theatre and drama studies, Interior design, E-commerce, Finance, Entrepreneurship, Quality management, Accounting, Office administration, Marketing, Retail, Transportation and logistics, Management, Human resources management, Business studies, Languages, Computer engineering;https://www.dicle.edu.tr;30
31;IZMIR KATIP CELEBI UNIVERSITY;IZMIR;11256;Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Processes, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science, Agriculture, Veterinary Medicine, Farm Management, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies, Languages, Computer Engineering,;http://www.ikc.edu.tr/;31
32;UNIVERSITY OF KOCAELI;KOCAELI;7223;FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art, Social Sciences, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Fundamental Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical and Electronics Engineering, Industrial Engineering, Food Engineering, Surveying Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy, Culinary Arts, Recreation Management, Tourism Guidance, Tourism Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine;https://www.kocaeli.edu.tr;32
33;ISTANBUL CIVILIZATION UNIVERSITY;ISTANBUL;9658;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Programming, Psychology, Career Counseling, Coaching, Pedagogy, Adult Education, Public Law, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, Dance, Handicrafts, Music, Art, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;https://www.medeniyet.edu.tr/en;33
34;ANKARA YILDIRIM BEYAZIT UNIVERSITY;ANKARA;14294;Civil Law, International Law, Beauty Therapy, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science, Agriculture, Veterinary Medicine, Farm Management, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences;https://aybu.edu.tr/;34
35;PAMUKKALE UNIVERSITY;DENIZLI;21480;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Programming, Psychology, Career Counseling, Coaching, Pedagogy, Adult Education, Public Law, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, Dance, Handicrafts, Music, Art, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;http://www.pau.edu.tr;35
36;VAN YUZUNCUYIL UNIVERSITY;VAN;18339;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Psychology, Coaching, Pedagogy, Adult Education, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Electrical and Electronics Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Medicine, Aviation, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences;www.yyu.edu.tr;36
37;MANISA CELAL BAYAR UNIVERSITY;MANISA;35292;Computer Engineering, Computer Programming, Informatics, Multimedia, Programming, CPD, Educational Research, Educational Administration, Educational Learning, Educational Psychology, Career Counselling, Coaching, Pedagogy, Adult Education, Childhood Education, Special Education, Teacher Training, Teaching, Criminal Law, Legal Research, Public Law, Legal Advice, Civil Law, International Law, Beauty Treatment, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil&Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consultancy, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;http://mcbu.edu.tr/;37
38;CANAKKALE ONEKIZ MARCH UNIVERSITY;CANAKKALE;8596;Civil Law, International Law, Beauty Therapy, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science, Agriculture, Veterinary Medicine, Farm Management, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences;https://www.comu.edu.tr/;38
39;BOLU ABANT IZZET BAYSAL UNIVERSITY;BOLU;6968;Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Processes, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science, Agriculture, Veterinary Medicine, Farm Management, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies, Languages, Computer Engineering,;http://www.ibu.edu.tr;39
40;TOKAT GAZIOSMANPASA UNIVERSITY;TOKAT;39925;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Programming, Psychology, Career Counseling, Coaching, Pedagogy, Adult Education, Public Law, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, Dance, Handicrafts, Music, Art, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;http://www.gop.edu.tr;40
